time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
3740	188.03554324516367	154.84283168852846	147.19187990321413	132.73110084075424
7480	474.1032355272112	322.43529888312383	395.49109990520026	335.75800827825674
11220	752.3498754717164	523.4288481532045	593.7806948817489	477.90648181486154
14960	1016.6825434686353	733.9484503624295	817.3071779515909	644.6922644708125
18700	1221.8098125515808	840.9035639711748	946.0948915248282	735.4686020562563
22440	1479.4683252227985	1019.9350640781388	1165.4633169043866	868.8194750563133
26180	1742.9901802597306	1214.8413498743882	1327.6366242256724	970.1070141841706
29920	1997.326287729976	1393.6055824260495	1550.2273726457463	1140.6683946599421
33660	2315.908546161349	1615.1340188543386	1766.9040054119278	1284.4564945972838
37400	2550.2462605462147	1817.3311343082719	1921.7352147613785	1379.8135371223582
41140	2770.8441408251642	1947.2359885643605	2121.2310740320704	1515.6480211937621
44880	3025.783481111236	2136.2097186243964	2256.773429816192	1649.7484196872042
48620	3277.5842239303424	2313.2340343967644	2456.930489502457	1786.033893530963
52360	3537.8002155578183	2499.9347511908277	2594.269219439661	1888.0608049048462
56100	3752.8881383919797	2697.057075416579	2741.3399688082277	1976.660286573824
59840	3988.538512210735	2851.299410133727	2897.158450928553	2099.1457216111116
63580	4268.74952177801	3065.608472812538	3073.7131485587765	2260.8711111766493
67320	4468.461166565357	3224.017028744368	3208.317388345861	2363.753122879385
71060	4768.683564903868	3427.577933026237	3436.9354666814575	2493.7421871570127
74800	4816.419209544221	3446.147260494259	3484.671111321811	2518.6030048529865
74850	4816.419209544221	3446.147260494259	3484.671111321811	2518.6030048529865
