time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
4220	744.7141753290637	557.2930098801062	495.63291347675636	461.90417280353455
8440	1579.9911609484434	960.0374351416527	1082.6358489926847	829.4503031952605
12660	2382.074660843555	1405.5243126185824	1667.5954764581106	1119.6039111834382
16880	3121.4162122654843	1906.7084959910865	2028.0029100558586	1371.4488901163038
21100	3989.6786979550584	2461.544896074105	2508.6817687428625	1689.7760959168168
25320	4885.759935885067	3046.331423765762	3067.2269262377345	2020.6900667766802
29540	5617.736849652537	3426.205729887498	3529.963685432045	2268.902403527187
33760	6365.831372969708	3949.717121645768	4022.659214576725	2615.6168758852496
37980	7136.968673170841	4473.9259339192195	4412.029794949653	2842.9521509292176
42200	7759.061440397811	4863.912525087536	4743.952428727769	3021.0355728773256
46420	8540.142315487052	5340.053169175017	5365.035201000998	3429.7406873731265
50640	9261.751948538507	5865.96407546773	5741.117313510872	3670.451913758303
54860	10058.288319081701	6471.608891639437	6194.341581003895	3954.8921091834964
59080	10775.274517714224	6961.874826133866	6658.373725509004	4195.336394997778
63300	11667.95718341152	7539.485370904104	7154.205175768579	4453.32460519953
67520	12525.138711235672	8033.936561986367	7732.323131525145	4789.971234699302
71740	13370.652846845314	8638.045655388672	8232.145292080604	5084.146253707216
75960	13403.60031336397	8659.292618091704	8265.092758599256	5103.335141700622
80180	13403.60031336397	8659.292618091704	8265.092758599256	5103.335141700635
84400	13403.60031336397	8659.292618091704	8265.092758599256	5103.335141700651
84460	13403.60031336397	8659.292618091704	8265.092758599256	5103.33514170065
