time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
4360	651.3755232268779	425.38599436425335	426.3364329069804	363.5483220426278
8720	1513.4357104729372	923.2135665221566	871.1689887072157	682.7653840514392
13080	2379.729623397044	1405.746988296118	1294.5586014286648	956.248372784723
17440	3130.277727198195	1780.3300024187615	1784.649367854509	1292.8665199722411
21800	3915.0454755899923	2175.8171498170873	2335.67848182997	1663.8997825531605
26160	4799.39849069662	2648.2696476436367	2796.033834734011	1918.236240412668
30520	5662.234663506209	3098.276783773455	3226.43453450023	2172.419653866447
34880	6441.679372650559	3608.7444107374927	3676.099424941479	2523.2161692322734
39240	7339.777563300087	4124.59193948371	4184.391808396773	2837.7909947246762
43600	8037.35101317768	4499.614412410596	4656.865288056982	3141.1099349818546
47960	8745.622900424274	4948.261858023776	5105.834626090572	3448.0214303225957
52320	9635.75375324279	5401.412820933835	5663.52920060869	3835.168020710608
56680	10489.39801633699	5909.628732835778	6105.687962712247	4104.00282673389
61040	11250.62366655444	6267.336622440544	6473.695774326066	4357.184724350803
65400	12135.017062858924	6785.506432022599	7005.342470388292	4720.589667106681
69760	12895.14279338779	7325.103690796325	7510.797923169293	5023.720735920436
74120	13374.683591791167	7607.634825533546	7932.413463421331	5279.930660133367
78480	13374.683591791167	7607.63482553354	7932.41346342133	5279.930660133373
82840	13374.683591791167	7607.6348255335515	7932.41346342133	5279.9306601333765
87200	13374.683591791167	7607.634825533552	7932.41346342133	5279.9306601333765
87300	13374.683591791167	7607.634825533552	7932.41346342133	5279.9306601333765
