time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
3700	204.94988371239572	117.66625739134064	123.47069944669383	89.52468349830326
7400	485.6732380312998	261.70114489714535	243.9864564136395	150.60650233519084
11100	767.6485242516374	408.5483142134323	482.74396292498477	351.7832832456269
14800	1025.4913750031933	585.2386657237366	578.024827967557	440.94977068409577
18500	1257.9058268939577	732.9363653959966	734.78875140056	548.79209218836
22200	1450.709953947653	866.3955766874269	866.6021022294509	635.0297414402562
25900	1623.5625885262689	978.7399528888687	937.974917385907	699.1581575826947
29600	1893.525127259473	1155.1399507925505	1118.3014008747484	821.5503854531067
33300	2166.670523959812	1345.4857223016595	1285.6369431181313	930.4399763369832
37000	2453.2576310758213	1506.0760854644227	1477.2048652242029	1057.9985170789744
40700	2702.546513201547	1611.5079721965951	1624.9108981361496	1149.8790717440545
44400	2865.378276308111	1752.0393455933952	1728.5150805927042	1225.8169333876738
48100	3137.9438384671253	1938.6942735662242	1935.7122059020862	1363.9508570726814
51800	3338.3528813909484	2043.1201034062192	2075.303179072365	1455.281528176543
55500	3563.2202191372335	2215.7373730799636	2245.3370220756988	1621.7089546324744
59200	3817.7766085667054	2410.692912633618	2467.17907680382	1801.9787006087365
62900	4107.198357104976	2616.0036222935505	2661.9399347103326	1965.490669199315
66600	4326.965193537883	2762.823900953059	2796.2814270030485	2060.0445342783264
70300	4588.344163081517	2923.7412275752977	2973.946364716624	2190.9935135346973
74000	4724.09352085822	3004.5537445725745	3040.629460039249	2227.8023763339183
74080	4724.09352085822	3004.5537445725745	3040.629460039249	2227.8023763339183
