time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
4240	863.5682963327969	557.644415376374	440.7313682187132	373.3394487773981
8480	1699.1455536352858	957.5195602882371	776.9173452621445	600.9664937326954
12720	2458.7735897262073	1389.5659302852464	1187.456512754245	877.3549546710269
16960	3196.216960170654	1791.816648713845	1534.7601687808808	1055.2347367488735
21200	4104.134246081089	2331.9763918780145	2119.7490235414843	1463.6130071436296
25440	4937.470318206526	2773.036851544332	2784.773926840182	1858.6718802563532
29680	5766.03928741608	3256.224390708905	3277.3957013264576	2164.035814318087
33920	6406.189846463169	3590.2265813686645	3630.751099444206	2377.7541668043664
38160	7370.760016704942	4176.6107540278235	4368.9463152399085	2953.5353237582594
42400	8206.509761243287	4708.3463535962255	4874.997130910297	3322.1871278266417
46640	9107.278310533744	5132.394100666859	5498.980741605181	3661.502390264147
50880	9903.694871784393	5591.511258464813	5940.700842715685	3938.9362653756625
55120	10672.227926872836	6128.127610556752	6391.733055533299	4268.853890676339
59360	11364.871004290073	6572.959985232666	6828.157601660317	4515.755071826428
63600	12079.15521667707	7077.484641948746	7291.53497024258	4806.8882655481575
67840	12814.016900183578	7619.0059133287305	7743.1421935513	5073.659352177334
72080	13730.057120587695	8144.352977524194	8179.279359523163	5299.809756662643
76320	13730.057120587695	8144.352977524184	8179.279359523164	5299.8097566626575
80560	13730.057120587695	8144.352977524184	8179.279359523164	5299.809756662657
84800	13730.057120587695	8144.352977524184	8179.279359523164	5299.809756662661
84860	13730.057120587695	8144.352977524184	8179.279359523164	5299.809756662661
