time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
4370	739.0487338706212	484.5523719466137	461.7287212257011	366.9317236002332
8740	1652.8090649797643	1038.5971235793659	1096.581104054138	802.4984593463013
13110	2572.461965236397	1541.9955053615658	1685.9014811238126	1199.8283452750313
17480	3437.6037795104385	2077.5584837697293	2261.7517777818102	1592.2750854189924
21850	4220.875681009593	2568.7870344592566	2845.6934757789027	1978.3512260375524
26220	5002.34378685653	3060.9546025436675	3268.9616319256565	2230.4729819021163
30590	5895.675318114797	3670.7840352472535	3737.859131357267	2544.5253360163583
34960	6674.4649651185555	4177.970360175061	4180.580992504713	2816.514401401178
39330	7448.260836152134	4662.626200996339	4659.062513401999	3112.1394292458995
43700	8175.4748079697665	5167.217705189245	5093.919596378859	3383.115778452199
48070	9140.313176445314	5742.530357077685	5655.48139154349	3702.480259029011
52440	9946.645696005684	6233.880078369211	6125.810770140943	3996.039439272608
56810	10687.027026387368	6677.613158613697	6610.77279284024	4321.057031541393
61180	11665.863545212313	7297.544365289758	7329.771188808533	4754.324061311411
65550	12469.605976527073	7838.50984224786	7771.24322128329	5081.640798922614
69920	13219.311911982624	8288.80127448034	8193.11059469943	5322.231165219094
74290	13592.124758796292	8506.279104322603	8437.682511104002	5480.4018598439425
78660	13592.124758796292	8506.279104322603	8437.682511104002	5480.401859843951
83030	13592.124758796292	8506.279104322603	8437.682511104002	5480.401859843963
87400	13592.124758796292	8506.279104322603	8437.682511104002	5480.401859843969
87560	13592.124758796292	8506.279104322603	8437.682511104002	5480.40185984397
