time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
3830	278.2631424787461	178.5338977056192	181.68613653678506	153.07230255533867
7660	454.84838390553756	254.54603945714666	256.03584259021034	202.62878733249693
11490	757.4875880385549	481.686014229538	519.7845604047698	418.5091742121027
15320	990.5893352737347	606.9861566130244	695.8514035494127	533.4546200855812
19150	1226.863444212139	722.9131392978645	882.6929936576781	639.6831885771408
22980	1438.8596470157556	846.579130820951	960.0762856108205	713.1061911042486
26810	1713.580111322926	1049.199513071901	1103.5342803129363	851.6483509799816
30640	1937.7353956976244	1217.8492215520296	1222.8929353439598	942.0358871412083
34470	2238.791042197513	1405.4074099665208	1388.05553476996	1076.592469483357
38300	2466.953187714207	1557.7364982577576	1531.8905237113568	1165.055485306055
42130	2793.8347708442407	1750.5638790529754	1798.1868060474308	1360.4326781682598
45960	2959.5537835294854	1876.370490337952	1874.2651776029993	1422.0802014932976
49790	3164.920918167205	2061.61021032005	2037.0334628823075	1546.3570445944558
53620	3434.4192645850203	2215.0785454951165	2266.058167173242	1671.1209421414487
57450	3685.1711422839567	2355.5411536747683	2433.4092187274314	1822.8207593325221
61280	3906.0098549710706	2514.152231587316	2538.7801791549286	1905.5806260934007
65110	4165.3951255532775	2701.24251317134	2738.119269999627	2055.89067259809
68940	4441.219260350465	2918.0612099171067	2911.1312524632126	2191.73340060711
72770	4567.1156142081245	3006.754235451115	2995.155155758637	2251.6238553144767
76600	4567.1156142081245	3006.754235451115	2995.1551557586367	2251.623855314472
76630	4567.1156142081245	3006.754235451115	2995.1551557586367	2251.623855314472
