time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
3770	217.6639983551652	134.08466637663784	190.02883067145186	124.1438063999436
7540	480.40671949249753	262.7864811173125	360.11786525466897	246.2417654047615
11310	752.1956077951434	422.5334413872771	544.7142391007873	377.3307181163989
15080	995.3404989747556	551.8267721915895	649.8789665143825	438.0848425676947
18850	1277.3601036183893	749.6288579205582	874.5216217935431	624.5912932836015
22620	1607.1484023103849	958.1087523838651	1165.6326793078135	846.878578973248
26390	1813.5324237457955	1059.6655449859447	1323.681754191663	937.6927866816902
30160	2096.964906646594	1197.7743187791025	1522.5512578244989	1087.4994096870323
33930	2451.5329903385614	1389.94477739215	1816.7530222723483	1282.9125032567101
37700	2670.0914964559884	1496.0124034820756	1951.2932117240941	1351.9125153870602
41470	2866.149782998119	1655.1263431530915	2090.431861018686	1461.0290128179754
45240	3126.63645421454	1838.439018156548	2250.2059293060306	1575.1299463985886
49010	3368.4087660202104	1999.7296465749528	2439.739094714194	1693.4380669394106
52780	3613.713677564457	2174.787912138885	2583.0743928728602	1782.0976402834046
56550	3817.663935914251	2368.63156538667	2677.271230546393	1842.7311169852467
60320	4089.968749765878	2573.719168184699	2881.242953571652	1983.7255944079163
64090	4357.464177519943	2727.4716486594994	3079.6410812279537	2110.9317092251968
67860	4558.269418277378	2847.9128957354615	3258.590943687321	2199.9260639237496
71630	4711.94903608789	2966.9648403118445	3337.2189342284737	2271.56432226936
75400	4764.700968582457	2996.526840842341	3389.9708667230407	2300.299345743468
75490	4764.700968582457	2996.526840842341	3389.9708667230407	2300.299345743468
