Iteration Inst nbReq nbRejectReq cost time
6 4 100 0 820170.0 1583589124
6 4 150 0 1118330.0 1583596764
6 4 200 0 1560807.0 1583604626
7 0 8 0 48879.0 1582596643
7 0 70 4 522468.0 1582599066
7 0 100 2 834363.0 1582607321
7 0 150 0 962586.0 1582615943
7 0 200 0 1463769.0 1582623645
7 1 8 0 64710.0 1582627342
7 1 70 0 585864.0 1582630449
7 1 100 2 866430.0 1582638034
7 1 150 0 1129095.0 1582646992
7 1 200 0 1428480.0 1582654200
7 2 8 0 80739.0 1582657902
7 2 70 1 652212.0 1582659625
7 2 100 0 789714.0 1582669855
7 2 150 0 1098414.0 1582676932
7 2 200 0 1455750.0 1582684782
7 3 8 0 102285.0 1582688429
7 3 70 0 499833.0 1582693354
7 3 100 0 702864.0 1582700061
7 3 150 0 1170881.0 1582706493
7 3 200 0 1460052.0 1582715523
7 4 8 0 88101.0 1582719146
7 4 70 9 615375.0 1582721621
7 4 100 0 873693.0 1582731734
7 4 150 0 1221309.0 1582737225
7 4 200 0 1422423.0 1582746000
8 0 8 0 68652.0 1582750155
8 0 70 4 510759.0 1582754792
8 0 100 2 841500.0 1582762267
8 0 150 0 1054439.0 1582768870
8 0 200 0 1249713.0 1582777002
8 1 8 0 50922.0 1582780685
8 1 70 0 575712.0 1582784677
8 1 100 1 948348.0 1582791715
8 1 150 0 1215558.0 1582799802
8 1 200 0 1408545.0 1582806020
8 2 8 0 60507.0 1582812814
8 2 70 0 722358.0 1582817896
8 2 100 0 773865.0 1582825127
8 2 150 0 1141632.0 1582832354
8 2 200 0 1348443.0 1582839373
8 3 8 0 99135.0 1582843283
8 3 70 0 498726.0 1582846183
8 3 100 0 741897.0 1582855475
8 3 150 0 1031688.0 1582862434
8 3 200 0 1633878.0 1582870188
8 4 8 0 103365.0 1582873850
8 4 70 9 648954.0 1582876647
8 4 100 0 758196.0 1582885640
8 4 150 0 1141497.0 1582893119
8 4 200 0 1289304.0 1582901446
9 0 8 0 48708.0 1582905142
9 0 70 4 517194.0 1582908947
9 0 100 2 844119.0 1582916946
9 0 150 0 1111491.0 1582922679
9 0 200 0 1405539.0 1582931772
9 1 8 0 48159.0 1582935853
9 1 70 0 566496.0 1582938048
9 1 100 1 901278.0 1582947596
9 1 150 0 1137312.0 1582955477
9 1 200 0 1396593.0 1582962297
9 2 8 0 80739.0 1582966360
9 2 70 0 785115.0 1582970908
9 2 100 0 803178.0 1582978296
